Country,Number,Comments
AFGHANISTAN,334,
AFRIQUE DU SUD,7108,
ALBANIE,172,
ALGERIE,28830,
ALLEMAGNE,114372,
ANDORRE,3288,
ANGOLA,2070,
ARABIE SAOUDITE,5306,
ARGENTINE,14390,
ARMENIE,591,
AUSTRALIE,18323,
AUTRICHE,8024,
AZERBAIDJAN,164,
BAHREIN,991,
BANGLADESH,235,
BELGIQUE,109426,
BENIN,3694,
BIELORUSSIE,139,
BIRMANIE,270,
BOLIVIE,1204,
BOSNIE-HERZEGOVINE,318,
BOTSWANA,122,
BRESIL,19858,
BRUNEI,186,
BULGARIE,1004,
BURKINA,3387,
BURUNDI,444,
CAMBODGE,3897,
CAMEROUN,6183,
CANADA,79328,
CAP-VERT,389,
CENTRAFRICAINE (REP.),1296,
CHILI,11046,
CHINE,30305,
CHYPRE,1339,
COLOMBIE,4545,
COMORES,1971,
CONGO,5083,
CONGO (REP. DEMOCRAT.),2448,
COREE,1993,
COSTA RICA,2093,
COTE D'IVOIRE,13221,
CROATIE,925,
CUBA,510,
DANEMARK,5214,
DJIBOUTI,5142,dont 15 en Erythrée
DOMINICAINE (REP.),3818,
EGYPTE,6483,
EMIRATS ARABES UNIS,14352,
EQUATEUR,2182,
ESPAGNE,94056,
ESTONIE,182,
ETATS-UNIS,122686,
ETHIOPIE,895,
FIDJI,200,
FINLANDE,2569,
GABON,11217,
GEORGIE,264,
GHANA,959,
GRECE,11226,
GUATEMALA,788,
GUINEE,2379,
GUINEE EQUATORIALE,684,
GUINEE-BISSAO,109,
HAITI,1551,
HONDURAS,387,
HONGRIE,2413,
INDE,9595,
INDONESIE,3564,
IRAK,173,
IRAN,903,
IRLANDE,8881,
ISLANDE,341,
ISRAEL,58840,
ITALIE,48352,
JAMAIQUE,203,
JAPON,7480,
JERUSALEM - TER. PALESTINIENS,19708,
JORDANIE,1407,
KAZAKHSTAN,417,dont 63 au Kirghizstan
KENYA,1366,
KOSOVO,108,
KOWEIT,1014,
LAOS,1884,
LETTONIE,193,
LIBAN,21428,
LIBYE,407,
LITUANIE,379,
LUXEMBOURG,28720,
MACEDOINE,201,
MADAGASCAR,19864,
MALAISIE,2592,
MALI,4815,
MALTE,497,
MAROC,44000,
MAURICE,9780,
MAURITANIE,2127,
MEXIQUE,17315,
MOLDAVIE,102,
MONACO,7792,
MONGOLIE,118,
MONTENEGRO,111,
MOZAMBIQUE,468,
NAMIBIE,293,
NEPAL,218,
NICARAGUA,660,
NIGER,1558,
NIGERIA,1826,
NORVEGE,5034,
NOUVELLE-ZELANDE,3512,
OMAN,702,
OUGANDA,387,
OUZBEKISTAN,111,
PAKISTAN,578,
PANAMA,1270,
PAPOUASIE-NOUVELLE-GUINEE,120,
PARAGUAY,1395,
PAYS-BAS,23934,
PEROU,3713,
PHILIPPINES,2272,
POLOGNE,5757,
PORTUGAL,15572,
QATAR,3202,
ROUMANIE,2979,
ROYAUME-UNI,123306,
RUSSIE,5752,
RWANDA,258,
SAINTE-LUCIE,805,
SALVADOR,690,
SENEGAL,17729,
SERBIE,1483,
SEYCHELLES,552,
SINGAPOUR,9197,
SLOVAQUIE,895,
SLOVENIE,682,
SOUDAN,225,
SOUDAN DU SUD,54,
SRI LANKA,425,
SUEDE,6329,
SUISSE,155743,
SURINAME,251,dont 29 au Guyana
SYRIE,2660,
TADJIKISTAN,33,
TAIWAN,1517,
TANZANIE,630,
TCHAD,1259,
TCHEQUE (REPUBLIQUE),2983,
THAILANDE,9788,
TOGO,3007,
TRINITE-ET-TOBAGO,649,
TUNISIE,21552,
TURKMENISTAN,473,
TURQUIE,6630,
UKRAINE,1016,
URUGUAY,2824,
VANUATU,1962,
VENEZUELA,4970,
VIET NAM,6164,
YEMEN,510,
ZAMBIE,243,
ZIMBABWE,241,
