country,year,population
AF,2011,334
AL,2011,172
DZ,2011,28830
AD,2011,3288
AO,2011,2070
AR,2011,14390
AM,2011,591
AU,2011,18323
AT,2011,8024
AZ,2011,164
BH,2011,991
BD,2011,235
BY,2011,139
BE,2011,109426
BJ,2011,3694
BO,2011,1204
BA,2011,318
BW,2011,122
BR,2011,19858
BN,2011,186
BG,2011,1004
BF,2011,3387
BI,2011,444
KH,2011,3387
CM,2011,6183
CA,2011,79328
CV,2011,389
CF,2011,1296
TD,2011,1259
CL,2011,11046
CN,2011,30305
CO,2011,4545
KM,2011,1971
CG,2011,5083
CD,2011,2448
CR,2011,2093
CI,2011,13221
HR,2011,925
CU,2011,510
CY,2011,1339
CZ,2011,2983
DK,2011,5214
DJ,2011,5127
DO,2011,3818
EC,2011,2182
EG,2011,6483
SV,2011,690
GQ,2011,684
ER,2011,15
EE,2011,182
ET,2011,895
FJ,2011,200
FI,2011,2569
GA,2011,11217
GE,2011,264
DE,2011,114372
GH,2011,959
GR,2011,11226
GT,2011,788
GN,2011,2379
GW,2011,109
GY,2011,29
HT,2011,1551
HN,2011,387
HU,2011,2413
IS,2011,341
IN,2011,9595
ID,2011,3564
IR,2011,903
IQ,2011,173
IE,2011,8881
IL,2011,58840
IT,2011,48352
JM,2011,203
JP,2011,7480
JO,2011,1407
KZ,2011,354
KE,2011,1366
KR,2011,1993
KW,2011,1014
KG,2011,63
LA,2011,1884
LV,2011,193
LB,2011,21428
LY,2011,407
LT,2011,379
LU,2011,28720
MK,2011,201
MG,2011,19864
MY,2011,2592
ML,2011,4815
MT,2011,497
MR,2011,2127
MU,2011,9780
MX,2011,17315
MD,2011,102
MC,2011,7792
MN,2011,118
ME,2011,111
MA,2011,44000
MZ,2011,468
MM,2011,270
NA,2011,293
NP,2011,218
NL,2011,23934
NZ,2011,3512
NI,2011,660
NE,2011,1558
NG,2011,1826
NO,2011,5034
OM,2011,702
PK,2011,578
PS,2011,19708
PA,2011,1270
PG,2011,120
PY,2011,1395
PE,2011,3713
PH,2011,2272
PL,2011,5757
PT,2011,15572
QA,2011,3202
RO,2011,2979
RU,2011,5752
RW,2011,258
LC,2011,805
SA,2011,5306
SN,2011,17729
RS,2011,1483
SC,2011,552
SG,2011,9197
SK,2011,895
SI,2011,682
ZA,2011,7108
ES,2011,94056
LK,2011,425
SD,2011,225
SR,2011,222
SE,2011,6329
CH,2011,155743
SY,2011,2660
TW,2011,1517
TJ,2011,33
TZ,2011,630
TH,2011,9788
TG,2011,3007
TT,2011,649
TN,2011,21552
TR,2011,6630
TM,2011,473
UG,2011,387
UA,2011,1016
AE,2011,14352
GB,2011,123306
US,2011,122686
UY,2011,2824
UZ,2011,111
VU,2011,1962
VE,2011,4970
VN,2011,6164
YE,2011,510
ZM,2011,243
ZW,2011,241
AG,2011,0
AI,2011,0
AN,2011,0
AQ,2011,0
AS,2011,0
AW,2011,0
BB,2011,0
BM,2011,0
BS,2011,0
BT,2011,0
BV,2011,0
BZ,2011,0
CC,2011,0
CK,2011,0
CX,2011,0
DM,2011,0
EH,2011,0
FK,2011,0
FM,2011,0
FO,2011,0
FR,2011,0
GD,2011,0
GF,2011,0
GG,2011,0
GI,2011,0
GL,2011,0
GM,2011,0
GP,2011,0
GS,2011,0
GU,2011,0
GZ,2011,0
HK,2011,0
HM,2011,0
IM,2011,0
IO,2011,0
JE,2011,0
KI,2011,0
KN,2011,0
KP,2011,0
KY,2011,0
LI,2011,0
LR,2011,0
LS,2011,0
MH,2011,0
MO,2011,0
MP,2011,0
MQ,2011,0
MS,2011,0
MV,2011,0
MW,2011,0
NC,2011,0
NF,2011,0
NR,2011,0
NU,2011,0
PF,2011,0
PM,2011,0
PN,2011,0
PR,2011,0
PW,2011,0
RE,2011,0
SB,2011,0
SH,2011,0
SJ,2011,0
SL,2011,0
SM,2011,0
SO,2011,0
ST,2011,0
SZ,2011,0
TC,2011,0
TF,2011,0
TK,2011,0
TL,2011,0
TO,2011,0
TV,2011,0
UM,2011,0
VA,2011,0
VC,2011,0
VG,2011,0
VI,2011,0
WF,2011,0
WS,2011,0
XK,2011,0
YT,2011,0
